,Название,Описание,Место
11,Todes. Инзэнайт,"«Инзэнайт»: Почему это стоит увидеть.

Новая яркая постановка Театра Аллы Духовой Todes — спектакль «Инзэнайт».

На этот раз Алла Духова предложила зрителю окунуться в мир подлинных шедевров. Картины великих художников с помощью танца оживают прямо на глазах изумленной публики. Завораживающе, искрометно, идеально до мельчайших движений — так, как это умеют только Todes.

И вот вихрь батманов Эдгара Дега и трепетная история Тристана и Изольды сменяется яркими красками Энди Уорхола — и дюжина Элвисов в искрящихся костюмах отжигают рок-н-ролл, а следом оживают яркие, эмоциональные и темпераментные шедевры Филиппа Малявина. Под музыку, написанную специально к спектаклю композитором Денисом Гарнизовым, усидеть и вправду очень сложно.

В двух актах Алла Духова собрала все разнообразие танцевальных жанров — от классического балета, поражающего своей пластикой, до зажигательной румбы, веселого канкана и русской хороводной. А это больше двадцати номеров — нежных и страстных, озорных и ироничных, отточенных не только до мельчайших движений, но и до последней стразы на костюмах артистов. Их автор — Любовь Белочкина, в прошлом солистка балета, а ныне дизайнер костюмов театральных постановок. Костюмы, созданные ею, всегда идеально дополняют яркие образы балета Todes, и спектакль «Инзенайт» не стал исключением.",Дворец культуры «Нефтяник»
12,Ярослав Сумишевский,"Ярослав Сумишевский — артист, которого выбрал народ.

Один из самых ярких и востребованных исполнителей, народный певец и любимец публики, представляет свою новую программу «Рядом с тобой».

Артист исполнит проверенные хиты из своего репертуара, а также новые композиции; поделится музыкальной историей своего длинного, сложного и яркого творческого пути. Его путь к успеху был непростым, но ярким: на сегодняшний день Ярослав — востребованный исполнитель, которого часто называют «народным артистом интернета».

Вот что говорит Ярослав:
«Я назвал новую концертную программу «Рядом с тобой» не просто так: мне крайне важно быть рядом с вами, мои зрители. Я всю жизнь шел к своей мечте стать большим артистом, музыкантом, стоять на большой сцене, дарить людям минуты радости.
Моя мечта сбылась — каждый день я пою для вас, любимые зрители. Я чувствую вашу любовь, ваше тепло и поддержку. Вы дарите мне энергию для новых достижений. Быть рядом с вами — для меня огромная честь и великое счастье».

Секрет успеха Ярослава Сумишевского — в уникальном голосе, несомненном таланте, невероятном профессионализме и искренней любви к своим зрителям. Каждый концерт Ярослава Сумишевского — это атмосферный вечер, наполненный музыкой, песнями, качественным звуком и выверенным светом. Уникальный голос, проникновенное исполнение, лирические тексты и живой вокал — неотъемлемые акценты его выступлений.

Подарите себе незабываемые впечатления от посещения концерта любимого исполнителя!
Читать полностью",Филармония
13,Мураками,"Любимые песни, главные хиты и неизменно только хорошее — рок-группа «Мураками» отправляется в большой тур с программой «Я буду петь».

Диляра Вагапова, солистка «Мураками»: Мы готовим новый тур, и я уже чувствую этот драйв. Гитарные рифы, мощный рок-н-ролл — всё то, что вы любите и ждёте. Я в предвкушении, адреналин зашкаливает!

2024 год для группы стал особенным — в начале года «Мураками» выпустили альбом The Best с главными хитами в новых аранжировках, приуроченный к 20-летию команды, в рамках большого тура выступили в более чем 50 городах, выпустили Live-альбом и два сингла «Гулять» и «Легенда». И в завершение — с успехом отыграли большие концерты с казанским оркестром La Primavera в Казани и в столичном концертном зале «Москва».

Все их песни о любви, они постоянно меняются и удивляют своих поклонников. Более тяжёлым звучанием или лирическими балладами, новым образом солистки коллектива Диляры Вагаповой или внезапной игрой на клавишах бас-гитариста Ильдара Субаева. Одно неизменно — это послевкусие, с которым зритель остаётся после концерта.

Невероятная энергетика, улыбки и добрые эмоции, а ещё большой профессионализм и безграничная любовь к поклонникам — споём вместе с «Мураками»!",Максимилианс
14,Цинк уродов,Самый масштабный тур «Цинка» наконец-то в твоём городе. Не вафли — бери билет.,Дом печати
15,Гала-концерт фестиваля «Зимний бардовский»,"Гала-концерт 20-го юбилейного фестиваля авторской песни им. Н. Старченкова.

В концерте принимают участие авторы-исполнители: Анатолий Киреев (Челябинск), Наталья Нелюбова (Томск), Ирина Бархатова, Музыкальная студия «Интервал», Марина Дмитриева, Бард-Бэнд «Те самые», Сергей Мячиков. А также лауреаты и дипломанты фестиваля со всей России.",Дворец культуры «Нефтяник»
18,Цветаева. (Не)любовь,"Музыкально-поэтический вечер «Цветаева. (Не)любовь».

Как любят поэты?
Поэты с таким громадным даром, как у Марины Цветаевой.
Что для них любовь?
Или это не любовь вовсе?
Может, это что-то другое.
Знаменитое Цветаевское «не» –
«…больны не мной…
…негулянье под луной…
…солнце не у нас над головами…»
И не-любовь.
Послушаем… Почувствуем…

Поэзия и проза Марины Цветаевой, камерная музыка русских и зарубежных композиторов.

Исполнители:
Кристина Тихонова – актриса Тюменского БДТ (чтец)
Фаузия Тажина – главный дирижер оркестра «Камерата Сибири» (скрипка)
Артисты оркестра «Камерата Сибири»:
Светлана Пустовалова (скрипка)
Елена Сирина (альт)
Наталья Вышенская (виолончель)

Продолжительность: 1 час 10 минут.",Тюменский драматический театр
19,Джаз замечательных людей. Луи Армстронг,"Джазовый вечер с мужским вокалом!

Вечер популярного джаза и джазовых историй из цикла «Джаз замечательных людей» с Андреем Иноземцевым.

Формат необычный — это рассказ с живыми музыкальными иллюстрациями, это микс радиоэфира, клубного концерта и дружеской встречи. Джазовые истории «Джаз замечательных людей» — уникальный проект.

Вы услышите любимые хиты и мало-известные песни, а местами даже сможете подпевать! И снова будете смеяться и иногда даже плакать... Это истории и песни героев концертов-историй. И это не просто джазовый концерт, это моноспектакль, настоящая интерактивная история в классических традициях прошлых лет, где вы — на расстоянии вытянутой руки до артистов, а иногда их даже можно будет потрогать! Это камерные программы, Арт-кафе ТБДТ для которых просто идеальное место.

Рассказчик и крунер — Андрей Иноземцев, джазовый исполнитель, радиоведущий, переводчик и художественный руководитель ДК им. Октябрьской революции в Новосибирске — того самого, в котором во время войны работали Леонид Осипович Утесов и его оркестр. За роялем — известный пианист из Новосибирска, солист новосибирской филармонии, пианист-виртуоз Дмитрий Карпов.

Программа:
«Этот прекрасный мир или Счастье старины Луи»

Так ли прекрасен был мир Луи Армстронга, как он пел в своей знаменитой песне? Через какие перипетии судьбы прошел мэтр джаза? Как, несмотря на перенесенные тяготы в детстве и трудности в юношеском возрасте, Луи Армстронг стал самым значимым для джазовой культуры музыкантом? Как ему жилось со страстью к джазовой музыке, пению и игре на трубе в мире, который и жарко принимал, и в то же время отторгал его? Об этом — в истории-моноспектакле с живыми музыкальными иллюстрациями.

В цикле Андрея Иноземцева «Джаз замечательных людей» проходят следующие программы:
«Четыре мэтра XX века»;
«Битлз: чего стоит быть популярнее Иисуса Христа»;
«Истории о Леониде Утесове, или Почему Ледя Вайсбейн так и не стал акробатом»;
«Фрэнк из Хобокена. Истории о Синатре»;
«Этот прекрасный мир или Счастье старины Луи»;
«Новогодний джаз».

Вниммание!

1. Приходите на мероприятие заранее, чтобы успеть сделать заказ напитков и закусок до начала концерта или спектакля. Двери сцены открываются за час до начала.

2. В стоимость билета не входит еда и напитки. Блюда и напитки вы сможете заказать до мероприятия и оплатить отдельно. Приходить со своими напитками и едой запрещено.

3. Приветствуется вечерний нарядный стиль в одежде. Вход рядом с Малым залом Тюменского БДТ. Ждём вас!",Тюменский драматический театр
20,Даниил Могутов. Записки учителя,"Тёплый, душевный вечер нового актёра Тюменского драматического театра Даниила Могутова с авторскими песнями, стихами и рассказами о его опыте работы в школе учителем музыки.

Это трогательная и невероятная история о том, как выжить в школьной системе образования и при этом завоевать любовь детей. На этом пути много творчества и смекалки, где-то нужно слушать советы детей, где-то ругаться на них, а где-то менять себя самого. Эта встреча подарит вам педагогические лайфхаки, как увлечь ребёнка музыкой, оставит ощущение счастья и напомнит о стране под названием «Детство», которая есть в каждом из нас.

Двери сцены открываются за 1 час до начала концерта.

Приветствуется вечерний нарядный стиль в одежде.",Тюменский драматический театр
22,Dругой ветер,"Яркие представители новой волны альтернативного рока с долгожданным концертом. Лучшие песни и презентация нового сингла «Мотыльки».

На счету коллектива «Dругой ветер» участие в крупных фестивалях, ротация на «Нашем Радио» и премия «Чартова дюжина 2023». Творчество команды отличает умение видеть обратную сторону шаблонного мира и открытый рассказ о том, о чём обычно принято молчать.",Цоколь
23,Neo Classic Orchestra. Оркестр и 1000 свечей «Любовь»,"Neo Classic Orchestra представляет: специальная программа ко дню всех влюбленных в мерцании 1000 свечей.

Самый романтический подарок для ваших любимых и близких людей!

Вас ждет очаровательное путешествие по миру романтической музыки:
— Итальянского гения Людовико Эйнауди
— Великого композитора современности Ханса Циммера, Макса Рихтера
— Волшебной музыки из миров Миядзаки
— Адель, Уитни Хьюстон, Квин, саундтреки из мюзикла «Ла-ла-ленд» и многое другое.

Наш концерт — это незабываемое визуальное наслаждение в романтической атмосфере 1000 свечей под любимые хиты в исполнении оркестра. Погрузитесь в мир музыки и любви!

Людовико Эйнауди — популярный итальянский композитор. В творчестве художник по-своему интерпретирует мировую музыкальную культуру, объединяя в произведениях классику, эмбиент, а также этнические и народные мотивы.

Ханс Циммер — главный создатель саундтреков в Голливуде. Он не просто пишет музыку, он создает всю атмосферу фильма, наполняя киноленту удивительными музыкальными мотивами и звуками. А миры Миядзаки не нуждаются в своем представлении! Эти мультфильмы обожает каждый!

Neo Classic Orchestra — коллектив профессиональных музыкантов, имеющий постоянный состав и активно гастролирующий по всей России. Своей миссией они видят популяризацию современной классической музыки наряду с качественным развитием жанра. В состав входят виртуозные музыканты с высоким уровнем владения инструментом, выпускники лучших консерваторий страны, лауреаты всероссийских и международных конкурсов, которых отличают музыкальная чуткость и всепоглощающая страсть к музыке.",Дворец культуры «Нефтяник»
24,Новогодняя оттепель,"Предыдущие два квартирника с артистами ТБДТ прошли с огромным успехом! Новый проект приурочен к новому году и будет проходить с настроением новогодних огоньков, что проходили на советском телевидении.

Вас ждут проверенные временем и любимые хиты в исполнении актёров Тюменского БДТ и музыкантов группы «Слушать подано»!

Два часа с половиной драйва и неподдельных эмоций.

В стоимость билета не входит еда и напитки.
Приветствуется вечерний нарядный стиль в одежде.",Тюменский драматический театр
25,Цу е фа,"Готов провести день с Женей Лизогубом, Миланой Некрасовой, Давидом Туровым и Лерой Симкой? А зажечь под «Девочку Уэнсдей» и оторваться под «Эщ Эщ»? Тогда мы ждём именно тебя!",Золотые ворота Сибири
26,Рок и симфонический оркестр,"Денис Шаповалов окончил Московскую консерваторию им. П.И. Чайковского в 2008 году. Победитель XI Международного конкурса им. П.И. Чайковского.

С 2001 по 2012 год преподавал в Московской консерватории. С 2004 по 2006 год стажировался на кафедре оперно-симфонического дирижирования консерватории. С 2005-го сотрудничает с различными оркестрами в России и за рубежом. Выступал в Большом зале Московской консерватории (Москва), Большом зале Санкт-Петербургской филармонии, Королевском фестиваль-холле в Лондоне, Барбикан-центре, Филармонии Мюнхена, амстердамском Концертгебау, Vaduzerzaal (Лихтенштейн), Сантори-холле (Токио), Эвери-Фишер-холле (Нью-Йорк); на международных фестивалях в Литве, Германии, Италии, Франции, Финляндии, Бразилии, Японии, Китае. В 2000 дебютировал в США на Всемирном конгрессе виолончелистов, а в 2001 году стал победителем Виртуального музыкального конкурса (Нью-Йорк, США).

Сотрудничал с известными дирижерами, в числе которых М. Ростропович, В. Спиваков, В. Федосеев, Ю. Башмет, Л. Маазель, Ю.-П. Сарасте, Й. Леви, Т. Зандерлинг; играл в ансамбле с Р. Щедриным, В. Репиным, Н. Цнайдером, А. Любимовым, А. Гиндиным. Среди коллективов, с которыми выступал музыкант, – Государственный академический симфонический оркестр, «Виртуозы Москвы», «Солисты Москвы», Академический симфонический оркестр Санкт-Петербургской филармонии, Лондонский симфонический и филармонический оркестры, оркестр Баварского радио, оркестр Токио Метрополитэн, оркестр Нидерландской филармонии, Литовский симфонический и Камерный оркестры.

Концерты виолончелиста регулярно записываются и транслируются музыкальными радио и телеканалами ГТРК «Культура», Bayerische Rundfunk, Radio France, Mezzo, Cenqueime, Bayern Klassik, Das Erste ARD.

В 2016 года обратился к композиторскому творчеству, за 2 года представив ряд премьерных сочинений в России и на европейских фестивалях, в том числе «Итальянскую сюиту» для виолончели соло, Концерт-Фантазию ""Rencontres Musicales"" для виолончели с оркестром, «Рок-вариации на тему Рококо П.Чайковского» для электро-виолончели с оркестром.

Исполнители:
Тюменский филармонический оркестр.
Художественный руководитель и главный дирижёр – Юрий Медяник.
Солист – Денис Шаповалов (виолончель).",Филармония
27,Mafia и любовь,"Проведите особенный вечер с любимыми в атмосфере роскоши и романтики!

Вас ждёт изысканный итальянский гастроужин, живая музыка от группы «Синтеза», яркий ведущий Гера Адамян и шикарные фотозоны.",Marshal Grand Hall
28,Цехъ поэтовъ,"Рассказать о поэтах начала 20 века, так чтобы это было интересно подросткам и молодежи века 21 — легко. Соединяем современную электронную музыку с текстами авторов и дарим хорошо знакомым стихотворениям современное звучание. Цехъ поэтовъ — название нескольких поэтических объединений, существовавших в начале XX века.

Исследуем время серебряного века через призму творчества поэтов, которые в нем жили. Жанр — игровая лекция.
Цель — показать историю больших личностей в коротком промежутке времени с помощью стихотворений, дневниковых записей, писем. Через современную музыку выстраивается диалог, где ныне живущие говорят с теми, кто как-то осмыслял себя и окружающий мир через слово.

Это даст возможность зрителям на полтора часа погрузиться в пространство серебряного века и услышать то время.

Для написания песен вдохновлялись текстами великих поэтов XX века: Анна Ахматова, Николай Гумилёв, Велимир Хлебников, Осип Мандельштам, Алексей Крученых, Марина Цветаева, Николай Оцуп, Александр Блок.",Тюменский драматический театр
30,Fortuna812 и Юпи,В рамках 812 Tour Юпи и Fortuna812 выступят со своим сольным концертом. Все хиты+презентация нового альбома. Это Юпи и Fortuna и мы едем в город твой.,в 2 местах
32,Варвара Кутузова,"Исполнитель:
Лауреат международных конкурсов Варвара Кутузова — фортепиано.

В программе:
Мусоргский — «Картинки с выставки»;
Сочинения Рахманинова.",Филармония
33,Дима Сокол,"Дима Сокол — лидер и автор песен панк-рок-группы «Йорш» — едет в большой акустический тур.

Вы услышите не только давно любимые песни, которым подпевают тысячные залы по всей стране и которые звучат на главных сценах крупнейших фестивалей, но и совсем новые ещё неизданные композиции. И всё это в атмосфере квартирника, на расстоянии вытянутой руки, как если бы концерт проходил у вас на кухне. Также вы сможете примерить и приобрести фирменный мерч Wall of Death, представленный сейчас исключительно онлайн, а также сборники стихов Димы, выпущенные ограниченным тиражом.

Дима Сокол уже в вашем городе! Только акустика, только панк-рок. Не пропустите!",Harat’s Pub
34,Группа «Лаборатория». Фантастические существа,"Цикл камерных концертов с участием группы «Лаборатория» — артистов Тюменского филармонического оркестра.

Автор и ведущая — Ксения Стацура.

Музыка — искусство временное, чтобы понять, что заложено в звуках, нужно вслушаться и собрать полную картину. Музыка работает с человеческим воображением и жизненным опытом, поэтому в звуках — для каждого своя бездна. Порой в этой бездне возникают фантастические существа, которые причудливо отражают реальность, становясь символами и медиумами. Именно такой музыке и посвящён вечер — в Органном зале в звуках оживут Черномор, загадочная Банши, будут петь голоса сирен и пролетит «Золотой петушок».

Программа:
Изаи — Соната Соната № 2;
Кауэл — «Банши»;
Лист-Глинка — «Марш Черномора»;
Цимбалист — «Фантазия на темы из оперы «Золотой петушок»;
Дебюсси — «Сиринкс»;
Цёсь — «Бай».

Исполнители:
Ольга Узингина — скрипка;
Станислав Хуланхов — фортепиано;
Арина Мельник — флейта;
Андрей Сергиенко — альт;
Татьяна Схабицкая — скрипка;
Анна Попова — виолончель;
София Сафронова — кларнет.",Филармония
36,Отта. Новое и лучшее,"Отта Шоу – это феномен российской инструментальной музыки, уникальное явление на российской музыкальной сцене, не имеющее аналогов в России. Сочетая в себе мощь симфонического звучания, игривость поп-музыки и глубину инди-рока, коллектив создает неповторимую атмосферу, которая захватывает сердца слушателей по всему миру. В их звучании переплетаются новые и классические жанры, рождая уникальную смесь симфо-попа, инди-рока, электроники и фолка.

Неповторимый стиль группы «Отта» отличает невероятная оригинальность. В творчестве сочетается энергия рока, нежность симфонического звучания, легкость поп-музыки и глубина фолка. Все это создает неповторимое звучание в стиле World Music, которое притягивает слушателя и заставляет его двигаться в такт.

С момента основания группа «Отта» прошла яркий путь творческого развития, завоевав признание как в России, так и за рубежом. Их концерты – это настоящие шоу, полные энергии, драматизма, красоты и уникальной харизмы. Группа гастролировала в Китае, Италии и по всей России, от Калининграда до Камчатки.

Группа «Отта» не боится экспериментировать. Ли Отта создает уникальные музыкальные аранжировки, которые делают каждую композицию особенной и неповторимой. А вирусный хит «Royal Safari» стал настоящим прорывом для группы. Клип набрал более 45 миллионов просмотров на YouTube, а трек стал популярным трендом в TikTok. Альбомы группы можно найти на всех ведущих цифровых площадках, что свидетельствует о большой популярности группы.

В составе группы «Отта» – яркие и талантливые девушки, играющие на различных музыкальных инструментах: скрипки и клавишные, барабаны и перкуссия, гитара и аккордеон, белорусские цимбалы и индийский ситар, китайская хулуси – все эти инструменты представлены в концертном шоу словно герои музыкального театра!

Отта Шоу – это не просто концерт, это настоящее путешествие в мир инструментальной музыки.",ДК «Железнодорожник»
37,Комиссар,"«Комиссар» — отечественная поп-группа, которая постоянно звучала на различных дискотеках в танцевальных клубах на огромнейших просторах нашей страны. Легенды 90-х, именно так называют группу и ее бессменного солиста Алексея Щукина.

Стиль группы «Комиссар»: хорошая, стильная, танцевальная музыка всех времен и народов. Хиты группы: «Ты уйдешь», «Дрянь», «Королева снежная», «Ты вернёшься» и другие.",Максимилианс
